"br_ouinstance","br_customer_id","br_customer_location","br_from_ship_point_id","br_to_ship_point_id","br_score","br_rank","br_created_date","br_created_by"
2,asian,"2pud","382-2","5l",1.00000000,1,2019-01-14 20:20:23,ML
2,asian,"2pud","382-3","5l",1.00000000,1,2019-01-14 20:20:23,ML
2,asian,"2pud","382-5","5l",1.00000000,1,2019-01-14 20:20:24,ML
2,asian,"2pud","382-6","5l",1.00000000,1,2019-01-14 20:20:24,ML
2,asian,"2pud","382-7","5l",1.00000000,1,2019-01-14 20:20:25,ML
2,asian,"2pud","382-9","5l",1.00000000,1,2019-01-14 20:20:25,ML
2,asian,"2pud","3949","5l",1.00000002,1,2019-01-14 20:20:25,ML
2,asian,"2pud","4","5l",1.00000002,1,2019-01-14 20:20:26,ML
2,asian,"2pud","49","5l",1.00000002,1,2019-01-14 20:20:26,ML
2,asian,"2pud","60","5l",1.00000002,1,2019-01-14 20:20:26,ML
2,asian,"2pud","62","5l",1.00000002,1,2019-01-14 20:20:28,ML
2,asian,"2pud","81","5l",1.00000002,1,2019-01-14 20:20:28,ML
2,asian,"2pud","91","5l",1.00000002,1,2019-01-14 20:20:29,ML
2,asian,"2pud","98","5l",1.00000002,1,2019-01-14 20:20:29,ML
2,asian,"2pud",test01,"5l",1.00000002,1,2019-01-14 20:20:29,ML
2,asian,"2tgw","23pwick","5l",1.00000002,1,2019-01-14 20:20:30,ML
2,asian,asian,"24pines","5l",1.00000000,1,2019-01-14 20:20:30,ML
2,asian,jakartahub,shp_marunda,"5l",1.00000000,1,2019-01-14 20:20:31,ML
2,awwgumon,"2pud","2chikil","5l",1.00000002,1,2019-01-14 20:20:31,ML
2,awwgumon,"3t","2chikil","5l",1.00000002,1,2019-01-14 20:20:31,ML
2,bayswater,l793994,andheri,"5l",1.00000002,1,2019-01-14 20:20:32,ML
2,bb,"10l",shp_marunda,"5l",1.00000000,1,2019-01-14 20:20:32,ML
2,bb,"10l",test40,"5l",1.00000002,1,2019-01-14 20:20:32,ML
2,bb,"2tgw","2parsou","5l",1.00000002,1,2019-01-14 20:20:33,ML
2,bb,"3pud","2chikil","5l",1.00000002,1,2019-01-14 20:20:33,ML
2,bb,"3pud","2parsou","5l",1.00000002,1,2019-01-14 20:20:33,ML
2,bb,adayar,"01","5l",1.00000002,1,2019-01-14 20:20:34,ML
2,bb,bng,shp_marunda,"5l",1.00000000,1,2019-01-14 20:20:34,ML
2,bb,jakartahub,"","5l",1.00000000,1,2019-01-14 20:20:35,ML
2,bb,jakartahub,"011","5l",1.00000002,1,2019-01-14 20:20:35,ML
2,bb,jakartahub,"01_st_1","5l",1.00000000,1,2019-01-14 20:20:35,ML
2,bb,jakartahub,"1","5l",1.00000002,1,2019-01-14 20:20:36,ML
2,bb,jakartahub,"10000039","5l",1.00000002,1,2019-01-14 20:20:36,ML
2,bb,jakartahub,"127","5l",1.00000002,1,2019-01-14 20:20:37,ML
2,bb,jakartahub,"135","5l",1.00000002,1,2019-01-14 20:20:38,ML
2,bb,jakartahub,"2000","5l",1.00000002,1,2019-01-14 20:20:38,ML
2,bb,jakartahub,"24pines","5l",1.00000002,1,2019-01-14 20:20:38,ML
2,bb,jakartahub,"2chikil","5l",1.00000002,1,2019-01-14 20:20:39,ML
2,bb,jakartahub,shp_carangwulung,"5l",1.00000000,1,2019-01-14 20:20:39,ML
2,bb,jakartahub,shp_cilincing,"5l",1.00000000,1,2019-01-14 20:20:40,ML
2,bb,jakartahub,shp_kel-gad,"5l",1.00000000,1,2019-01-14 20:20:40,ML
2,bb,jakartahub,shp_point1,"5l",1.00000000,1,2019-01-14 20:20:40,ML
